,Unnamed: 0,VIVIENDA_REF_ID,SEG_REF_ID,LOC,CV12,CV13,CC4,CC5,CC6,CC7,CC9,CC10,CC11,CC12,AGLO,URP,CANTPERS,CANTHOG,CV951,CV94RA,CV952,MUNI,V0T,CV94,TIPOVIV,V4,CC8,V10,V5,V11,RADIO_REF_ID,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDEPTO,RC01
177911,177911,7405223,235641,18105030,4,11,1,1,1,1,1,1,1,2,103,1,6,1,100,1800,1405,180036,10,0,1,1,2,2,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177912,177912,7405224,235641,18105030,1,11,1,1,1,1,1,1,1,2,103,1,6,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177913,177913,7405225,235641,18105030,1,4,1,1,1,1,1,1,1,2,103,1,6,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177914,177914,7405226,235641,18105030,1,4,1,1,1,1,1,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177915,177915,7405227,235641,18105030,1,4,1,1,1,1,1,1,1,2,103,1,7,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177916,177916,7405228,235642,18105030,9,15,1,1,1,1,2,1,1,2,103,1,0,0,100,1800,1405,180036,7,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177917,177917,7405229,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,1,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177918,177918,7405230,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,4,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177919,177919,7405231,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,4,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177920,177920,7405232,235642,18105030,9,15,1,1,1,1,2,1,1,2,103,1,0,0,100,1800,1405,180036,3,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177921,177921,7405233,235642,18105030,4,4,1,1,1,1,2,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177922,177922,7405234,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,1,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177923,177923,7405235,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,3,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177924,177924,7405236,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,8,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177925,177925,7405237,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,9,2,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177926,177926,7405238,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,1,1,100,1800,1405,180036,10,0,1,1,2,3,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
