,Unnamed: 0,VIVIENDA_REF_ID,SEGMENTO_REF_ID,VIVIENDA,MANZANA,CONDOCUP,VIVCOLECT,TIPOVIV,CANTHOGAR,PAREDES,TECHO,PISOS,ELECTRIC,AGUA,OBTAGUA,CMV60UNBI,CMV61HJEF,CMV29PEVI,CMV27ARPO,CMV79NCAJ,CMV16CTOS,CMV15TCAS,CMV14INOD,CMV13DINO,CMV23NBI,CMV2AHACI,CMV2BTIVI,CMV2CRETR,CMV2DEDES,CMV2ECASU,CMV08PERS,CMV05TALO,CMV24LOCO,PROVORIG,RADIO_REF_ID,SEGMENTO,FRACCION_REF_ID,RADIO,DEPTO_REF_ID,FRACCION,PROVIN_REF_ID,DEPTO,NOMBDEPTO,RC91
80617,80617,1907438,127564,2,001,1,10,1,1,1,3,2,3,1,1,4,100,1,0,430082,100,2,3,7,1,0,0,0,0,1,1,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80618,80618,1907439,127564,3,001,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,3,1,0,0,0,0,1,2,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80619,80619,1907440,127564,4,001,1,10,9,1,1,3,3,1,1,1,4,100,1,0,430082,100,0,0,2,1,0,0,0,0,1,2,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80620,80620,1907441,127564,5,001,1,10,1,1,1,3,2,3,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,2,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80621,80621,1907442,127564,6,001,1,10,1,1,1,3,2,3,3,1,4,100,1,0,430082,100,2,3,7,1,0,0,1,0,0,1,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80622,80622,1907443,127564,7,002,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,1,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80623,80623,1907444,127564,8,002,1,10,1,1,1,3,2,3,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,5,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80624,80624,1907445,127564,9,002,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,3,0,0,0,0,0,0,2,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80625,80625,1907446,127564,10,002,1,10,1,1,1,3,2,3,1,1,4,100,1,0,430082,100,1,0,3,0,0,0,0,0,0,3,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80626,80626,1907447,127564,11,002,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,3,0,0,0,0,0,0,3,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80627,80627,1907448,127564,12,002,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,1,0,0,1,0,0,4,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80628,80628,1907449,127564,13,002,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,3,0,0,0,0,0,0,4,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80629,80629,1907450,127564,14,002,1,10,1,1,1,3,2,3,3,1,4,100,1,0,430082,100,2,3,7,1,1,0,0,0,0,7,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80630,80630,1907451,127564,15,002,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,3,0,0,0,0,0,0,1,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80631,80631,1907452,127564,16,002,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,3,0,0,0,0,0,0,4,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80632,80632,1907453,127564,17,002,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,3,0,0,0,0,0,0,5,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80633,80633,1907454,127564,18,002,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,9,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80634,80634,1907455,127564,19,000,1,10,9,1,2,5,6,1,8,8,4,100,1,0,430082,100,0,3,7,0,0,0,0,0,0,5,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80635,80635,1907456,127564,20,002,1,10,1,1,1,1,1,1,8,1,4,100,1,0,430082,100,2,3,7,1,0,0,1,0,0,5,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80636,80636,1907457,127564,21,002,1,10,9,1,4,3,2,1,3,1,4,100,1,0,430082,100,0,3,7,0,0,0,0,0,0,7,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80637,80637,1907458,127564,22,002,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,3,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80638,80638,1907459,127564,23,000,1,10,9,1,1,1,2,1,3,8,4,100,1,0,430082,100,0,3,7,1,0,0,1,0,0,5,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80639,80639,1907460,127564,24,002,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,6,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80640,80640,1907461,127564,25,002,1,10,1,1,1,3,2,3,8,8,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,5,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
80641,80641,1907462,127564,26,002,1,10,1,1,1,3,2,3,3,1,4,100,1,0,430082,100,2,3,7,1,1,0,0,0,0,8,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
