,Unnamed: 0,VIVIENDA_REF_ID,RADIO_REF_ID,TIPVV,V01,V02,V00,URP,INCALSERV,INMAT,MUNI,LOCAL,INCALCONS,TOTHOG,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDPTO,RC10
203942,203942,8364719,29442,1,2,1,0,1,1,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203943,203943,8364720,29442,1,2,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203944,203944,8364721,29442,1,2,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203945,203945,8364722,29442,1,1,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203946,203946,8364723,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203947,203947,8364724,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203948,203948,8364725,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203949,203949,8364726,29442,1,1,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203950,203950,8364727,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203951,203951,8364728,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203952,203952,8364729,29442,1,1,1,0,1,1,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203953,203953,8364730,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203954,203954,8364731,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203955,203955,8364732,29442,1,1,1,0,1,3,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203956,203956,8364733,29442,1,1,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203957,203957,8364734,29442,1,1,1,0,1,1,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203958,203958,8364735,29442,1,1,1,0,1,3,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203959,203959,8364736,29442,1,1,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203960,203960,8364737,29442,1,1,1,0,1,2,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203961,203961,8364738,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203962,203962,8364739,29442,1,1,1,0,1,2,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203963,203963,8364740,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203964,203964,8364741,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203965,203965,8364742,29442,1,1,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203966,203966,8364743,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203967,203967,8364744,29442,1,1,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203968,203968,8364745,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203969,203969,8364746,29442,1,1,1,0,1,3,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203970,203970,8364747,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203971,203971,8364748,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203972,203972,8364749,29442,1,1,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203973,203973,8364750,29442,1,1,1,0,1,2,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203974,203974,8364751,29442,1,1,1,0,1,1,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203975,203975,8364752,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203976,203976,8364753,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203977,203977,8364754,29442,1,2,1,0,1,3,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203978,203978,8364755,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203979,203979,8364756,29442,1,2,1,0,1,1,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203980,203980,8364757,29442,1,3,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203981,203981,8364758,29442,1,1,1,0,1,3,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203982,203982,8364759,29442,1,1,1,0,1,1,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203983,203983,8364760,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203984,203984,8364761,29442,1,1,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203985,203985,8364762,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203986,203986,8364763,29442,1,2,1,0,1,3,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203987,203987,8364764,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203988,203988,8364765,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203989,203989,8364766,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203990,203990,8364767,29442,1,1,1,0,1,1,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203991,203991,8364768,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203992,203992,8364769,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203993,203993,8364770,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
